,project_name,bid_classification,bid_type,Category
24071,Various Roof Replacements For The City Of Peterborough,Services,Request for Tender(RFT),
24075,Curtis Creek Culvert Replacements At Tivey Street And Euclid Avenue,Construction,Request for Tender(RFT),
24077,City Hall South Wing Lower Level Office Renovation,Services,Request for Tender(RFT),
24081,Transportation And Diversion Of Scrap Metal,Services,Request for Quotation(RFQ),
24085,West Nile Virus Mosquito Control Program In The City And County Of Peterborough,Services,Request for Tender(RFT),
24086,"Supply And Installation Of Artificial Turf Sports Field And Track At Holy Cross Secondary School, Peterborough",Construction,Request for Proposal(RFP),
24089,Itt-03-19  Crawford Rail Trail,Construction,Request for Tender(RFT),
24090,Parkhill Road West Reconstruction - Phase 3 Ravenwood Drive To West City Limit,Construction,Request for Tender(RFT),
24094,Online Community Engagement Platform,Services,Request for Proposal(RFP),
24098,"Construction Materials Testing, Inspection, Consultation And Reporting Services",Services,Request for Proposal(RFP),
24102,Pavement Crack Sealing,Construction,Request for Tender(RFT),
24112,"Design, Supply & Installation Of A Play Structure At James Stevenson Park",Services,Request for Proposal(RFP),
24113,City-Wide Development Charge Background Study And By-Law Development,Services,Request for Proposal(RFP),
24114,Sports Equipment And Skate Sharpening Shop Services- Evinrude Centre,Services,Request for Proposal(RFP),
24116,Sewer Replacement And Sewer Repairs,Construction,Request for Tender(RFT),
24118,Asbestos Abatement At The Peterborough Memorial Centre (Pmc),Services,Request for Tender(RFT),
24122,Ash Tree Treatment Program For The City Of Peterborough,Services,Request for Tender(RFT),
24125,The Supply And Installation Of Window Shades For The Municipal Operations Centre (Moc),Services,Request for Tender(RFT),
24127,Completion Of The 2020-2022 Business Plan,Services,Request for Proposal(RFP),
24143,Stormwater Management Facility Maintenance And Retrofit,Services,Request for Proposal(RFP),
24150,Watershed Planning Study,Services,Request for Proposal(RFP),
24157,Foodservice Operator For Food And Beverage Operations At The Peterborough Memorial Centre,Services,Request for Proposal(RFP),
24163,Landfill Engineering And Reporting Services For The Peterborough County/City Waste Management Facility,Services,Request for Proposal(RFP),
24165,Peterborough City And County Waste Diversion Services Contract,Services,Request for Proposal(RFP),
24170,Television Road Bridge Replacement Class Ea,Services,Request for Proposal(RFP),
24175,Parking Control And Security Services At The Peterborough Memorial Centre And Morrow Parking Lot,Services,Request for Proposal(RFP),
24178,Peterborough Sport & Wellness Centre Supply And Installation Of Variable Frequency Drives,Services,Request for Quotation(RFQ),
24180,Demolition Of 292 Airport Road,Services,Request for Quotation(RFQ),
24195,Vendor Of Record For Peterborough Municipal Airport Tree Clearing,Services,Request for Proposal(RFP),
24198,Radio Dispatch Console System For Peterborough Fire Services,Services,Request for Proposal(RFP),
24213,Transit Route Review And Long Term Growth Strategy,Services,Request for Proposal(RFP),
24220,Peterborough Police Service Facility Condition Assessment And Functional Space Analysis,Services,Request for Proposal(RFP),
24231,Backflow Replacements - Various Locations,Goods,Request for Tender(RFT),
24238,Orillia Recreation Centre - Commercial Pool Chemicals And Supplies,Goods,Request for Tender(RFT),
24241,70 Front Street North-Snow/Grounds Maintenance,Services,Request for Tender(RFT),
24246,Snow Removal Services For Multiple City Of Orillia Properties,Services,Request for Tender(RFT),
24250,Tourism/Visitor Wayfinding Production & Installation,Construction,Request for Proposal(RFP),
24256,Procurement And Oversight Of Landfill Capping Construction At The Orillia Waste Diversion Site,Construction,Request for Tender(RFT),
24259,Asphalt Resurfacing 2020 - Re-Tender,Construction,Request for Tender(RFT),
24262,Supply Of A Portable Generator,Goods,Request for Tender(RFT),
24263,Sidewalk Contract,Construction,Request for Tender(RFT),
24272,"Led Lighting Upgrades - Various Facilities, Turn-Key Service",Services,Request for Tender(RFT),
24278,Orillia Recreation Centre Generator,Goods,Request for Proposal(RFP),
24288,Supply And Delivery Of Polyaluminum Chloride For The Water Filtration Plant,Goods,Request for Tender(RFT),
24289,Construction Of A Landfill Gas Barrier And Venting System At The Former Landfill At Kitchener Park,Construction,Request for Tender(RFT),
24295,West Orillia Business Park Expansion,Construction,Request for Tender(RFT),
24308,Reconstruction Of Bleeker Street - Colborne Street West To Mckinnell Street,Construction,Request for Tender(RFT),
24316,Cleaning Services For The Orillia Recreation Centre,Services,Request for Tender(RFT),
24328,"Emcs, Plumbing And Hvac: Upgrade And Reboot",Services,Request for Tender(RFT),
24332,Consulting Services For Borland Street East Watermain Extension,Services,Request for Proposal(RFP),
24335,Consulting Services For Wfp Chlorine Room Assessment,Services,Request for Proposal(RFP),
24337,Front Street Phase 2 - Laclie Street To Colborne Street,Construction,Request for Tender(RFT),
24340,Consulting Services For Water Master Plan Update,Services,Request for Proposal(RFP),
24344,Harvie Hill Reservoir Safety Upgrades,Goods,Request for Tender(RFT),
24347,J.B. Tudhope Memorial Park Egress Driveway,Construction,Request for Tender(RFT),
24359,Shoreline Erosion Control Construction Works,Construction,Request for Proposal(RFP),
24361,Monitoring Well Decommissioning Program,Services,Request for Tender(RFT),
24363,Traffic Controller Upgrade Program - Traffic Controller Installations,Services,Request for Tender(RFT),
24367,Well 1 And Well 2 Refurbishment,Services,Request for Tender(RFT),
24369,Rosemary Reservoir Sealing,Services,Request for Quotation(RFQ),
24372,Municipal Tree Planting Contract,Goods,Request for Tender(RFT),
24376,Wood Chipping At The Orillia Waste Diversion Site,Services,Request for Tender(RFT),
24378,West Orillia Neighbourhood Park,Construction,Request for Tender(RFT),
24382,Provision Of Scada Maintenance Services And Implementation Of The City'S Scada Master Plan,Services,Request for Proposal(RFP),
24387,Orchard Point Traffic Study,Services,Request for Quotation(RFQ),
24393,Harvie Hill Water Standpipe Repairs And Painting,Services,Request for Tender(RFT),
24395,Water Filtration Plant Kick Plate Supply And Installation,Goods,Request for Quotation(RFQ),
24397,"Emcs & Hvac: Audit, Upgrade And Reboot",Goods,Request for Tender(RFT),
24398,Supply & Delivery Of Two Ods Pumps,Goods,Request for Tender(RFT),
24399,Traffic Signal Controller Upgrade Program,Goods,Others,
24402,"Design, Supply And Install Of A Double-Sided Outdoor Display",Goods,Request for Proposal(RFP),
24407,Tourism/Visitor Wayfinding & Secondary  Entrance Signage Design,Services,Request for Proposal(RFP),
24411,Jb Tudhope Memorial Park 2019 Improvement Plans,Services,Request for Proposal(RFP),
24415,Stephen Leacock Museum National Historic Site Master Plan,Services,Request for Proposal(RFP),
24420,Downtown/Waterfront Parklands Design Plan & Refrigerated Skate Trail,Services,Request for Proposal(RFP),
24423,Video - Scoreboard Gymnasium,Goods,Request for Tender(RFT),
24426,Goose Management Strategy And Action Plan,Services,Request for Quotation(RFQ),
24429,Municipal Core Service And Organizational Review And Municipal Strategic Plan – Council Term 2018-2022,Services,Request for Proposal(RFP),
24433,Centennial Park Fishing Pier Replacement,Services,Request for Proposal(RFP),
24435,Reconstruction Of Front Street South From Colborne Street East To Queen Street East,Construction,Request for Tender(RFT),
24437,Consulting Services - Pay Equity Plans,Services,Request for Proposal(RFP),
24441,Orillia Recreation Facility - Fitness & Excerise Equipment,Goods,Request for Tender(RFT),
24449,Removal & Recycling Or Disposal Of Municipal Hazardous Or Special Waste From Orillia'S Depot,Services,Request for Tender(RFT),
24453,Orillia Opera House - Adamson Pa System Package,Goods,Request for Tender(RFT),
24454,Asphalt Resurfacing 2019,Construction,Request for Tender(RFT),
24457,Old Barrie Road Multi-Use Trail,Construction,Request for Tender(RFT),
24469,Supply And Delivery Of Soft Drinks,Goods,Request for Proposal(RFP),
24471,Fire Fighter Protective Clothing (Bunker Gear),Goods,Request for Proposal(RFP),
24473,Equipment With Operators For Snow Hauling,Services,Request for Tender(RFT),
24477,Replacement Of Traffic Light Pole Intersection Of Memorial Avenue And James Street West,Services,Request for Quotation(RFQ),
24481,Monitoring Well Decommissioning Program,Services,Request for Tender(RFT),
24485,City Of Orillia 2018 Stump Removal Services,Services,Request for Quotation(RFQ),
24491,City Of Orillia 2018 Tree Plantings,Goods,Request for Quotation(RFQ),
24494,Replacement Of Hot Water Lines At The Orillia Wastewater Treatment Centre,Services,Request for Quotation(RFQ),
24495,"One (1), New, 2019, Full-Size, Four-Wheel Drive, Regular Cab, Long Box, 2500 Heavy Duty Pick-Up Truck With Plow And Sander, Including One (1) Trade-In Unit",Goods,Request for Tender(RFT),
24497,Wastewater System Master Plan,Services,Request for Proposal(RFP),
24499,"One (1), New, 2018, 11-Foot-Wide Area Mower With Cab Including One (1) Trade-In Unit",Goods,Request for Tender(RFT),
24501,Water System Leak Detection Program,Services,Request for Proposal(RFP),
24505,"Supply And Deliver One (1) New, 2019 Model, 4,309 Kg. (9,500Lb.) G.V.W., Full-Size, Four Wheel Drive, Regular Cab Truck Complete With Plow And Sander, Including Trade-In",Goods,Request for Tender(RFT),
24506,Replacement Of Constant Speed Controls With Variable Frequency Drive Controls For Two Pumps At The James Street Sanitary Pump Station,Goods,Request for Tender(RFT),
24508,"Supply, Delivery And Application Of Asphalt",Goods,Request for Tender(RFT),
24509,Park Entrance Signs,Goods,Request for Quotation(RFQ),
24516,"Supply And Deliver Two, New, 2018 Model, Multi-Purpose Tractors Complete With Attachments, Including Trade-Ins",Goods,Request for Tender(RFT),
24518,"Engineering Services For Class Ea And Preliminary Design For Stormwater Sub-Basins 10, 11, 12",Services,Request for Proposal(RFP),
24524,"Supply, Deliver And Off-Load Regular, Unleaded Gasoline (Or Ethanol-Blended Regular, Unleaded Gasoline);  No. 1 Ultra-Low Sulphur, Clear, Diesel Fuel And No. 1 Ultra-Low Sulphur, Coloured, Diesel Fuel Products",Goods,Request for Tender(RFT),
24528,Highway 12 (Coldwater Road) Improvements,Construction,Request for Tender(RFT),
24531,Municipal Fire Hydrant Painting,Services,Request for Tender(RFT),
24538,Pay By Mobile Service,Services,Request for Proposal(RFP),
24545,Design Build Services For James Street Greenhouse,Services,Request for Proposal(RFP),
24546,2018 Model Tandem-Axle Cab And Chassis Truck,Goods,Request for Tender(RFT),
24548,Rfp - Fire Apparatus - Triple Combination Pumper,Goods,Request for Proposal(RFP),
24553,Rfp - Fire Response Vehicle - Pick Up 4X4,Goods,Request for Proposal(RFP),
24558,"Supply, Deliver, Treat And Stockpile Screened Winter Sand",Goods,Request for Tender(RFT),
24560,Reconstruction Of Wyandotte Street From Colborne Street To Barrie Road And Of East Street From James Street To Crawford Street And Sanitary Sewer Extension On Swinimer Drive,Construction,Request for Tender(RFT),
24566,Environmental Due Diligence City Owned Waterfront Property,Services,Request for Proposal(RFP),
24584,Catch Basin Sediment Controls,Services,Request for Proposal(RFP),
24585,Water Monitoring Samply Analysis,Services,Request for Proposal(RFP),
24589,Supply And Delivery Of Liquid Aluminum Sulphate To Orillia'S Wastewater Treatment Centre,Services,Request for Tender(RFT),
24591,"Sand Dome Shingles, Supply, Deliver, Removal And Replacement",Construction,Request for Tender(RFT),
24597,Signalization Of University Avenue At Old Barrie Road,Construction,Request for Tender(RFT),
24600,Reconstruction Of Queen Street West,Construction,Request for Tender(RFT),
24602,Supply And Installation Of Playground Equipment And Safety Surfacing At Lakeview Park And Maple Leaf Park,Construction,Request for Proposal(RFP),
24606,Cctv Inspection Of Storm & Sanitary Sewers,Services,Request for Tender(RFT),
24616,"Construction Or Repair Of Sewers (Sanitary And Storm), Concrete Curbs And Gutters, Sidewalks, Watermains, And Related Appurtenant Works Including Construction Assistance Within The City Of Orillia",Services,Request for Tender(RFT),
24618,Sidewalk Program 2017,Construction,Request for Tender(RFT),
24625,Asphalt Resurfacing 2017,Construction,Request for Tender(RFT),
24664,Water Filtration Plant Condition Assessment,Services,Request for Proposal(RFP),
24685,Sanitary Sewer Cipp Reline Of Brant Street West,Construction,Request for Tender(RFT),
24724,Demolition Of Building And Appurtenances,Construction,Request for Tender(RFT),
